matchup,seed,winner,points_DNN,points_Aleatorio,turns
DNN_vs_Aleatorio,91,DNN,74,43,38
DNN_vs_Aleatorio,90,DNN,94,22,39
DNN_vs_Aleatorio,92,DNN,70,50,39
DNN_vs_Aleatorio,93,DNN,98,20,39
DNN_vs_Aleatorio,95,DNN,79,41,39
DNN_vs_Aleatorio,94,DNN,82,38,39
DNN_vs_Aleatorio,96,Aleatorio,49,60,39
DNN_vs_Aleatorio,97,Aleatorio,45,65,39
DNN_vs_Aleatorio,98,DNN,66,43,39
DNN_vs_Aleatorio,99,Aleatorio,45,64,39
DNN_vs_Aleatorio,100,DNN,66,52,39
DNN_vs_Aleatorio,101,Aleatorio,52,58,38
DNN_vs_Aleatorio,104,DNN,86,32,39
DNN_vs_Aleatorio,103,Aleatorio,19,97,38
DNN_vs_Aleatorio,102,DNN,73,36,39
DNN_vs_Aleatorio,106,Aleatorio,47,62,39
DNN_vs_Aleatorio,105,DNN,66,43,39
DNN_vs_Aleatorio,107,DNN,86,32,39
DNN_vs_Aleatorio,108,DNN,93,27,38
DNN_vs_Aleatorio,110,DNN,94,16,38
DNN_vs_Aleatorio,109,DNN,103,12,39
DNN_vs_Aleatorio,115,DNN,85,31,38
DNN_vs_Aleatorio,113,DNN,75,45,38
DNN_vs_Aleatorio,111,Aleatorio,56,61,39
DNN_vs_Aleatorio,114,DNN,59,51,39
DNN_vs_Aleatorio,112,DNN,66,54,39
DNN_vs_Aleatorio,116,Aleatorio,53,57,38
DNN_vs_Aleatorio,118,Aleatorio,39,78,39
DNN_vs_Aleatorio,119,Aleatorio,41,77,38
DNN_vs_Aleatorio,117,DNN,97,23,39
DNN_vs_Aleatorio,120,DNN,78,38,39
DNN_vs_Aleatorio,121,DNN,63,57,38
DNN_vs_Aleatorio,123,Aleatorio,19,97,39
DNN_vs_Aleatorio,122,DNN,78,42,39
DNN_vs_Aleatorio,126,DNN,65,45,38
DNN_vs_Aleatorio,124,DNN,64,56,39
DNN_vs_Aleatorio,125,Aleatorio,39,74,39
DNN_vs_Aleatorio,127,DNN,77,41,39
DNN_vs_Aleatorio,130,DNN,99,18,38
DNN_vs_Aleatorio,128,DNN,67,50,39
DNN_vs_Aleatorio,131,DNN,63,53,39
DNN_vs_Aleatorio,133,Aleatorio,40,80,39
DNN_vs_Aleatorio,129,Aleatorio,36,73,38
DNN_vs_Aleatorio,135,DNN,59,49,39
DNN_vs_Aleatorio,132,DNN,108,8,39
DNN_vs_Aleatorio,136,Aleatorio,36,81,38
DNN_vs_Aleatorio,134,DNN,72,38,39
DNN_vs_Aleatorio,138,Aleatorio,40,80,38
DNN_vs_Aleatorio,139,DNN,89,28,38
DNN_vs_Aleatorio,137,DNN,56,51,39
DNN_vs_Aleatorio,140,DNN,68,42,38
DNN_vs_Aleatorio,141,DNN,69,40,39
DNN_vs_Aleatorio,142,DNN,59,49,39
DNN_vs_Aleatorio,143,DNN,63,47,39
DNN_vs_Aleatorio,144,DNN,56,50,38
DNN_vs_Aleatorio,147,DNN,107,11,38
DNN_vs_Aleatorio,145,DNN,72,48,39
DNN_vs_Aleatorio,146,DNN,98,22,39
DNN_vs_Aleatorio,148,DNN,64,36,38
DNN_vs_Aleatorio,151,DNN,70,50,38
DNN_vs_Aleatorio,153,Aleatorio,30,90,38
DNN_vs_Aleatorio,152,DNN,67,32,38
DNN_vs_Aleatorio,154,DNN,71,46,38
DNN_vs_Aleatorio,149,DNN,67,51,39
DNN_vs_Aleatorio,150,DNN,108,2,39
DNN_vs_Aleatorio,155,DNN,102,18,39
DNN_vs_Aleatorio,159,DNN,63,57,38
DNN_vs_Aleatorio,156,DNN,54,53,38
DNN_vs_Aleatorio,158,DNN,64,51,38
DNN_vs_Aleatorio,160,DNN,60,50,39
DNN_vs_Aleatorio,157,DNN,69,41,39
DNN_vs_Aleatorio,162,DNN,74,46,39
DNN_vs_Aleatorio,161,Aleatorio,36,81,39
DNN_vs_Aleatorio,163,Aleatorio,38,82,39
DNN_vs_Aleatorio,164,DNN,68,52,39
DNN_vs_Aleatorio,165,Aleatorio,15,105,39
DNN_vs_Aleatorio,166,DNN,83,37,38
DNN_vs_Aleatorio,167,Aleatorio,49,68,38
DNN_vs_Aleatorio,168,Aleatorio,53,64,38
DNN_vs_Aleatorio,169,DNN,73,33,38
DNN_vs_Aleatorio,170,DNN,56,44,38
DNN_vs_Aleatorio,171,DNN,57,52,39
DNN_vs_Aleatorio,175,DNN,64,34,38
DNN_vs_Aleatorio,172,Aleatorio,32,77,39
DNN_vs_Aleatorio,173,Aleatorio,56,64,39
DNN_vs_Aleatorio,176,DNN,72,44,38
DNN_vs_Aleatorio,174,DNN,78,42,38
DNN_vs_Aleatorio,178,DNN,83,33,39
DNN_vs_Aleatorio,177,Aleatorio,45,75,39
DNN_vs_Aleatorio,179,DNN,85,31,39
DNN_vs_Aleatorio,180,DNN,73,44,38
DNN_vs_Aleatorio,183,DNN,81,39,38
DNN_vs_Aleatorio,182,Aleatorio,56,64,39
DNN_vs_Aleatorio,181,DNN,100,20,39
DNN_vs_Aleatorio,184,DNN,72,44,38
DNN_vs_Aleatorio,186,DNN,84,26,38
DNN_vs_Aleatorio,185,DNN,66,54,38
DNN_vs_Aleatorio,187,DNN,80,40,38
DNN_vs_Aleatorio,188,DNN,102,18,39
DNN_vs_Aleatorio,191,DNN,105,15,38
DNN_vs_Aleatorio,189,Aleatorio,26,74,39
DNN_vs_Aleatorio,190,DNN,117,0,39
DNN_vs_Aleatorio,193,Aleatorio,50,70,39
DNN_vs_Aleatorio,192,DNN,70,46,39
DNN_vs_Aleatorio,198,Aleatorio,25,91,38
DNN_vs_Aleatorio,194,Aleatorio,11,99,39
DNN_vs_Aleatorio,196,DNN,63,57,38
DNN_vs_Aleatorio,197,Aleatorio,22,84,39
DNN_vs_Aleatorio,195,DNN,80,30,39
DNN_vs_Aleatorio,199,DNN,81,39,39
DNN_vs_Aleatorio,200,Aleatorio,48,72,38
DNN_vs_Aleatorio,201,DNN,68,47,38
DNN_vs_Aleatorio,202,Aleatorio,54,55,38
DNN_vs_Aleatorio,203,DNN,57,49,39
DNN_vs_Aleatorio,205,DNN,100,16,38
DNN_vs_Aleatorio,207,Aleatorio,41,65,38
DNN_vs_Aleatorio,204,Aleatorio,59,61,39
DNN_vs_Aleatorio,206,DNN,97,23,38
DNN_vs_Aleatorio,208,Aleatorio,12,98,39
DNN_vs_Aleatorio,209,DNN,55,54,39
DNN_vs_Aleatorio,211,DNN,78,40,38
DNN_vs_Aleatorio,213,DNN,66,54,39
DNN_vs_Aleatorio,210,Aleatorio,20,96,39
DNN_vs_Aleatorio,212,DNN,74,42,39
DNN_vs_Aleatorio,215,DNN,68,52,38
DNN_vs_Aleatorio,214,DNN,67,42,39
DNN_vs_Aleatorio,217,DNN,105,12,38
DNN_vs_Aleatorio,216,DNN,77,30,39
DNN_vs_Aleatorio,218,DNN,66,51,38
DNN_vs_Aleatorio,219,DNN,89,20,39
DNN_vs_Aleatorio,220,DNN,88,28,39
DNN_vs_Aleatorio,222,DNN,64,46,38
DNN_vs_Aleatorio,225,DNN,63,44,38
DNN_vs_Aleatorio,223,DNN,61,59,38
DNN_vs_Aleatorio,221,DNN,97,21,39
DNN_vs_Aleatorio,227,Aleatorio,32,84,39
DNN_vs_Aleatorio,226,Aleatorio,48,51,38
DNN_vs_Aleatorio,224,DNN,89,31,39
DNN_vs_Aleatorio,228,DNN,64,43,39
DNN_vs_Aleatorio,230,Aleatorio,45,75,39
DNN_vs_Aleatorio,229,DNN,69,51,39
DNN_vs_Aleatorio,231,DNN,80,37,39
DNN_vs_Aleatorio,232,Aleatorio,45,75,38
DNN_vs_Aleatorio,234,DNN,77,43,39
DNN_vs_Aleatorio,235,Aleatorio,59,61,38
DNN_vs_Aleatorio,233,DNN,79,30,39
DNN_vs_Aleatorio,237,Aleatorio,27,91,38
DNN_vs_Aleatorio,238,DNN,105,15,38
DNN_vs_Aleatorio,239,DNN,90,30,38
DNN_vs_Aleatorio,236,DNN,96,17,39
